SMILES	GATS2Z	ATSC0c	SLogP_VSA2	F02[O-O]	GATS2v	GATS1se	ATSC1se	ATSC7c	GATS2se	ATSC1dv	MINssCH2	VSA_EState2	AATS4s	EState_VSA5	ZMIC1	observed	predicted
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O	0.9589160290430213	3.529688104711047	4.3748625123701945	1.41145994941357	2.0184166799923755	1.835929731816414	-5.089150074500515	-0.6984784031729026	0.9829591307576782	-1.04137388466184	-1.9592331331817738	-1.1202168381656983	0.3023655235075349	-0.9209993010949147	3.356770594337366	0	0
S=C=Nc1cccc2ccccc12	-2.1632182249712653	-1.4659897691560935	-1.2891515066683839	-0.5652972886470015	-0.2533190318723256	-0.7419118199864322	0.5684910674348712	0.17551659596061875	-0.7302624629923439	-0.9731579033625364	0.9535246248202621	-0.8801523012594216	-0.40686886904365444	-0.5334025406288637	-0.4721158032190195	1	1
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1	0.1848926612741825	0.8838309462686712	1.0777284419711401	1.41145994941357	0.4850670189525517	-0.30624405962240675	0.42628554487306064	-2.132774545148545	0.02356143714186708	-0.5332190183302548	-1.0777730336032894	-0.3395537146537278	-0.26797869899090676	1.1349687062762828	0.8127363520543599	1	0
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C	0.7484663473284721	0.5276015407112807	0.8985377458535633	-0.5652972886470015	0.6930817617366052	0.10355578547204874	-0.00664937681015908	0.36011025770545574	-0.4370694693893965	0.7988310518174223	-0.034338935976213236	0.6804191634346417	-0.7502351800927363	0.0030950408721634377	1.0119578365075066	1	0
COc1cccc(C2(O)CCCCC2CN(C)C)c1	0.9912152037214843	-0.6205354421661565	-0.18076743500539283	-0.5652972886470015	-0.23011323720193144	0.7600048806241355	0.48017254598939857	0.4161493069903451	1.2814050016102798	-0.1265622657957377	1.0878819634569497	-0.9901026239513622	-0.8496681532586824	-0.4589521301113757	-0.5311305576442628	1	1
NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)CCSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O	0.37721147730964466	5.071468041787518	3.7849057741604613	-0.5652972886470015	1.577499751143627	-0.049231138384024584	-2.9589062516910127	-8.255012814234352	-0.8869203152294531	1.9389628858266033	-2.288375413333284	8.055768847305705	0.15268581329100342	0.30468260935949926	5.264921405648302	0	0
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O	0.5581231638578791	0.5557673545783585	-0.2830859012527809	3.388217187474141	0.7445809829960038	2.632065124579388	-3.9090579257388547	-0.6293229955550265	-0.8856419649911361	-3.0161404036121797	-2.4642802216886808	1.2292902271822805	4.303809403242502	0.3980109475798802	-0.2754410701907832	0	0
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1	-0.9715689226926538	-0.6258523853153541	0.19688147423672825	-0.5652972886470015	-1.2585977780558453	-0.09503857892070221	0.523471883578688	0.07835275048316925	1.0085578223343439	0.22930644378336867	1.2961139381284905	-0.546336806218485	-0.7340694213756112	-0.9209993010949147	0.1320353929576801	0	1
CS(=CC1OC(n2cnc3c(N)ncnc32)C(O)C1O)CCC(N)C(=O)O	2.925585725587	1.2697566021361442	1.3420095539613148	0.09362179070652231	0.7223376319183329	1.323131312628761	-1.805398773771347	-0.6583091496274979	0.13817896305135344	-0.031694295338093745	-0.01037302429928666	0.2551496968869901	-0.04947910813586188	0.3182900951958302	-0.6279675668305589	0	0
COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314	-0.46514508571195723	0.017031014599322682	0.3797118702266341	-0.5652972886470015	-1.2556714104240116	-0.08706956916949028	0.18838619206809176	-0.20890663541848925	0.5291832717260552	0.5514452555437165	0.1523100709827018	-0.22552349955485243	-0.36415902722492305	-0.5206491319725838	-0.6755505101627984	1	1
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	-0.8959320902891348	0.23154394890428645	0.9223393933172114	-0.5652972886470015	-0.9022273688125299	0.33673421662388725	-0.26591654748391047	0.7389747499370598	0.10385017427484121	0.6472179978580578	-0.28610076155363845	0.7389731052255177	-0.4803085252793769	0.3407339100117022	0.20572221421596593	0	0
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1	-1.3946716946880355	-0.06128517449264642	-0.6935314451201141	-0.5652972886470015	0.4468552789643418	-1.2047898257366094	-0.36225916326582747	1.378572966998751	-1.3052671376929235	0.15597560304524347	0.4205570773583278	-0.9266729119562538	1.073708918720181	-0.48445894742393536	0.5018238520342768	1	1
